artist,track,seeds,genre,clean_text
Travis,Driftwood,['mellow'],britpop,everything open nothing set stone rivers turn ocean oceans tide home home heart heart roam drifting bridges never return watching bridges burn driftwood floating underwater breaking pieces pieces pieces driftwood hollow use waterfalls find bind grind nobody island everyone go pillars turn butter butterflying low low heart heart grow drifting bridges never flow really think would happen really end line sorry turned driftwood drifting long long time everywhere trouble nowhere safe go pushes turn shovel shoveling snow frozen chosen path wish go drifting forever forever reach shore driftwood floating underwater breaking pieces pieces pieces driftwood hollow use waterfalls find bind grind really think would happen really end line sorry turned driftwood drifting long long time drifting long long time drifting long long drifting long long time
Sia,Lullaby,['dreamy'],piano,send wish upon star work go far send wish upon star make map send hope upon wave dying wish grave send hope upon wave souls failed save stood tall fall break spell life spent trying well stood tall fall break spell life spent trying well send question wind hard know begin send question wind give answer friend place past book put everything ever took place past book burn pages let cook stood tall fall break spell life spent trying well stood tall fall break spell life spent trying well repeat chorus send wish upon star send wish upon star
Donna Summer,Now I Need You,['erotic'],disco,parting words still echo clear day left need said always help l need l need l need l need l need l need right l need l need l need l need l need l need right l ca seem satisfy anyone around hold hand see things bound l need l need l need l need l need l need right l need l need l need l need l need l need right l need l need l need l need l need l need right l need l need l need l need l need l need right calling oh need calling oh need please come need need oh l need need oh need need oh need need oh need oh need oh need learned live hard live without always said cheer would around l need l need l need l need l need l need right l need l need l need l need l need l need right l need l need l need l need l need l need right l need l need l need l need l need l need right calling oh need calling oh need please come oh need please come oh need need oh need
Weezer,The Good Life,['fun'],rock,look mirror ca believe see tell funky dude starin back broken beaten ca even get around without cane fall hit ground shivering cold bitter alone excuse bitchin complain feeling feeling pain everything need denied everything want taken away got blame nobody want old man anymore year two since floor shakin booty makin sweet love night time got back good life time got back time got back even know got track wan na go back yeah screw crap ai cool pig dog drool ai gon na hurt nobody ai gon na cause scene need admit want sugar tea hear hear want sugar tea want old man anymore year two since floor shakin booty makin sweet love night time got back good life time got back time got back even know got track wan na go back yeah wan na go back wan na go back even know got track time got back time got back even know got track want go back yeah want old man anymore year two since floor shakin booty makin sweet love night time got back good life time got back time got back even know got track time got back time got back even know got track wan na go back wan na go back
Dave Matthews Band,Old Dirt Hill (Bring That Beat Back),['nostalgic'],rock,bring beat back take back take back ca catch ca catch bring beat back take back take back ca catch ca catch ride bike old dirt hill ca catch first time without trainin wheels first time kissed lost legs ca catch bring beat back screamin shoutin louder innocence days would never end bring beat back take back take back ca catch ca catch bring beat back take back take back ca catch ca catch smokin railroad bridge used ride bike old dirt hill first time kissed lost legs bring beat back screamin shoutin louder innocence days would never end screamin old dirt hill bring beat back oh gets hard days remember seem far kid miss kid miss take back take back beat smokin railroad bridge bring beat back bring beat back ca catch bring beat back first time good friends bring beat back bring beat back bring beat back ca catch bring beat back bring beat back bring beat back
Nick Cave,Nature Boy,['erotic'],alternative,boy sat watch news tv saw ordinary slaughter saw routine atrocity father said look away got strong got bold said end beauty going save world moves among sparrows floats upon breeze moves among flowers moves something deep inside walking around flower show like leper coming kind nervous hysteria saw standing green eyes black hair pink purple wisteria said hey nature boy looking unrighteous intention knees went weak could speak thoughts best interests mention moves among flowers floats upon smoke moves among shadows moves one little look took back place dressed deep sea diver suit played patriot raised flag stood full salute later smoked pipe struck dumb made impossible speak closed slow motion quoting sappho original greek moves among shadows floats upon breeze moves among candles moved days years years passed walking sea half delirious smiled said babe think thing getting kind serious pointed something said ever seen beautiful thing broke lifted moves among sparrows walks across sea moves among flowers moves something deep inside moves among sparrows floats upon breeze moves among flowers moves right close
Nick Drake,River Man,"['melancholy', 'autumnal', 'mellow']",folk,betty came way said word say things today fallen leaves said heard news time choose way lose believes going see river man going tell plan lilac time tells knows way river flows night shows summertime betty said prayed today sky blow away maybe stay sure thought summer rain calling mind lost pain stayed going see river man going tell ban feeling free tells knows way river flows suppose meant oh come go oh come go
Cheap Trick,Lovin' Money,['sleazy'],classic rock,lovin lovin never seem get mind always thinkin lovin lovin lovin never seem get mind always thinkin lovin lot things seem go like world love fun lot things seem go like girls love get numb lovin lovin never seem get mind always thinkin lovin lovin lovin never seem get mind always thinkin lovin
Kate Bush,Eat The Music,"['sensual', 'quirky']",alternative,split open devotion put hands rip heart eat music conceal really feels woman heart love let split open like pomegranate insides revealed women bleed take stone mango put mouth pull plum take papaya like guava grab banana sultana rip pieces sticky fingers split banana crush sultana split open devotion put hands rip hearts like pomegranate insides woman heart love take papaya like guava grab banana sultana rip pieces sticky fingers split banana crush sultana emotion devotion put hands ya thinking singing song seeds food love eat music
The Beatles,I Will,"['sweet', 'mellow']",classic rock,knows long loved know love still wait lonely lifetime want ever saw catch name never really mattered always feel love forever forever love heart love whenever together love apart last find song fill air sing loud hear make easy near things endear know
Radiohead,Stop Whispering,['atmospheric'],alternative,wise man said want hear voice thin man said want hear voice cursing wo let nothing say nothing stop whispering start shouting stop whispering start shouting mother say love son buildings say let spit face feeling something wrong ca find words ca find song stop whispering start shouting stop whispering start shouting dear sir complaint ca remember stop whispering start shouting stop whispering start shouting
Owl City,I'll Meet You There,"['dreamy', 'ethereal']",electronic,could sit together moment talk forever pass time would smile shivers chills run spine eyes locked mine oh fill metro skies country air close tired eyes meet meet meet meet meet meet meet meet deep inside ruby glow gets brighter ever know rushing sound surrounds us walk alone everything never known wonder street pavement beneath feet could immobile time finally figure way feel missing puzzle pieces cloudy question marks still look bit surreal oh tend disappear concentrate feel everywhere fill metro skies country air lost close eyes meet meet meet meet could anywhere meet meet could anywhere meet meet open eyes see could anywhere everything meet open eyes see could anywhere everything meet
Coldplay,A Message,['mellow'],rock,song love love lovers shone goes alone heavy heart made stone hard see clearly gon na take back gon na say mean target aiming get message home song love song love know fire clearly alone gon na take back gon na say mean target aiming nothing got get message home gon na stand wait gon na leave much late platform gon na stand say nothing love please come home song love love know got get message home
Bob Dylan,"If You Gotta Go, Go Now",['humorous'],folk rock,listen baby something must see want gal want got go right got go go else got ta stay night ai questionin take part quiz ai got watch keep askin time got go right got go go else got ta stay night poor boy baby lookin connect certainly want thinkin ai got respect got go right got go go else got ta stay night know nightmares guilty conscience kept anything really wanted got go right got go go else got ta stay night ai wantin anything never gave sleepin soon dark find door got go right got go go else got ta stay night
Cat Stevens,Ready,"['uplifting', 'cheerful', 'sentimental', 'yearning', 'powerful']",folk rock,love love ready love yes love love ready love yeah love love ready ready ready love love love ready love yeah keep awake white lily smile keep watching charms cause wise men say grab comes way ready oh love love ready love yeah ready love love love ready love yeah make feel things never felt help baby eyes open door make real everyone everyday thank lord came along way illusion say love love ready love yes love love ready love yeah love love ready ready ready ready love ready love love ready love yes love love ready love yeah love love ready ready ready love love love ready love yeah keep awake white lily smile keep watching charms cause wise men say grab comes way ready oh love love ready love yeah ready love love love ready love yeah make feel things never felt help baby eyes open door make real everyone everyday thank lord came along way illusion say love love ready love yes love love ready love yeah love love ready ready ready ready love
NOFX,Drug Free America,"['playful', 'rousing']",punk,believe drug free america drug free america way believe way drug free america like amsterdam drugs bought sold legally let take one step make free drug free america say nope dope free say ugh drugs save money listen facts sit back relax help make country drug free
Diana Ross,Love Me,['delicate'],soul,love love way love way dreaming love way love give pleasure makes love hey touch hands awakens feelings deep inside know warmth breath like soft wind sent guide sweet sensations let feel love way love way dreaming love way love give pleasure makes love oh starting together feel love flowing know whatever love way sweet sensations let feel ooh love way love way dreaming love way love give pleasure makes love ooh see love face glowing feel lovin inside growin know exactly goin let come love way love way dreaming love way love give pleasure makes love love way love way dreaming love way love give pleasure makes love
Queen,Bohemian Rhapsody,['epic'],classic rock,real life fantasy caught landslide escape reality open eyes look skies see poor boy need sympathy easy come easy go little high little low anyway wind blows really matter mama killed man put gun head pulled trigger dead mama life begun gone thrown away mama ooo mean make cry back time tomorrow carry carry nothing really matters late time come sends shivers spine body aching time goodbye everybody got go got ta leave behind face truth mama ooo anyway wind blows want die sometimes wish never born see little silhouetto man scaramouch scaramouch fandango thunderbolt lightning frightening gallileo gallileo gallileo gallileo gallileo figaro magnifico poor boy nobody loves poor boy poor family spare life monstrosity easy come easy go let go bismillah let go let go bismillah let go let go bismillah let go let go let go let go never never let go let go never let go ooo oh mama mia mama mia mama mia let go beelzebub devil put aside think stone spit eye think love leave die oh baby ca baby got ta get got ta get right outta ooh yeah ooh yeah nothing really matters anyone see nothing really matters nothing really matters anyway wind blows
Chris Brown,Just Fine,['calm'],r&b,hey uh um hey oh girl oh girl everything could try make work baby look soo confused cause feels like way could lose way way baby reply cause ca find things need ca ca girl baby know know say trying break us away one another maybe right change think god give someone much better trust life alright fine fine fine know baby would disagree constantly basic things thought someone else along way way baby want decide stay right side baby know say wan na keep us away one another maybe right change think god give someone much better trust eyes alright alright fine fine know baby baby ca see another fella may kinda man need baby deserve know know another love come way listen say earned earned think god give someone much better trust eyes alright fine fine repeat x2 hey hey hey hey hey hey
Indigo Girls,Hey Kind Friend,['cheerful'],folk,hey kind friend know see ferry boat bound victoria laying hide wind big dipper hangin city know everything different ai use explainin scenery said kind friend help forget kind friend remember late spokane caught ride cascade range saw sun die olympia running capital lake ask relief one true root bring 3 good company said hey kind friend help forget hey kind friend help remember hey kind friend know gon na see okay friend okay friend hard meet new orleans see around know worth coming hey calling gold rush town say hey kind friend help forget hey kind friend help remember hey kind friend know gon na see ok friend ok friend said ok friend ok friend see ya later
Kate Bush,The Morning Fog,"['dreamy', 'ethereal', 'lush']",alternative,light begin bleed begin breathe begin speak know love better falling like stone like storm born sweet morning fog know love better falling love hold know kiss ground tell mother tell father tell loved one tell brothers much love
Gary Numan,Little Invitro,"['eerie', 'thoughtful', 'spacey']",electronic,ca believe gone alone ca believe never see face ca believe gates heaven ca believe never know miracles happened every day could believe something helpless cried empty lost world say peace world say time heal us world hope forgiven world know feel could live forever memories remember words spoken grave marks love broken hearts call blame us world ever smile world live without
Lou Reed,Adventurer,"['sarcastic', 'sardonic', 'cynical']",rock,adventurer sail across oceans climb himalayas seeking truth beauty natural state queen reborn worshiped afar see elixir elemental natural seeking perfect grace catacomb cave endless drawings prehistoric religious accomplishments prodigious seeking perfect tone language clear voice perfectly turning city sit yearning blowing rings smoke thin cigars driving fast foreign cars capture remains adventurer turban wet wrapped head mountainside predict death oh fooled subjects poor excuse really want muse inspirating knowledge comes speeds light momentary flicker candle wicker basket smoking wax facts find superior knowledge eluded college find super vortex could cause cerebral cortex lose grip adventurer looking meaning rest us steaming inspirating urban pit adventurer enter dreaming wish never wake differentiating scheming one true love adventurer love angles cherries height width levies natural bridge tunnels human race adventurer nothing seems scare wo dissuade think dismiss defocus redefine locus time space race move though understand thinking often done sane thing find parts gone adventurer though surely miss course survive without maybe good come point anticipate grieving although know leaving necessary adjunct adventurer splitting atom splitting splitting essence fate none meet forget adventurer adventurer adventuress
Radiohead,Pyramid Song,"['dreamy', 'epic', 'melancholy', 'sad', 'atmospheric', 'mellow']",alternative,jumped river see angels swam moon full stars astral cars figures used see lovers past futures went heaven little row boat nothing fear nothing doubt jumped river angels swam moon full stars astral cars figures used see lovers past futures went heaven little row boat nothing fear nothing doubt nothing fear nothing doubt nothing fear nothing doubt
Kenny Chesney,Never Wanted Nothing More,['sexy'],country,could wait turn sixteen drive boys around foot gas hands wheel could think little rust bed truck four speed floor five hundred dollars mine mine never wanted nothing took katie river six dollar bottle wine fool tryin play cool hopin let cross line prayin could tell never far first time one time feeling never wanted nothin never wanted nothin chorus well sure happy got live love laugh lot need buddies tried change mind told thought well katie laughed momma cried heard say little ring little thing could afford shes mine mine till day die never wanted nothing never wanted nothing well sure happy got live love laugh lot need one sunday listened preacher knew preaching could help walked front got knee right swear changed found lord glory hallelujah good god almighty never wanted nothing never wanted nothing well sure happy got live love laugh lot need never wanted nothing never wanted nothing
Neil Diamond,Crunchy Granola Suite,"['relaxed', 'dramatic', 'warm', 'refined', 'sentimental', 'yearning', 'confident']",rock,got song mind tune sung words rhyme deet deet deet deet deet deet deedle dee dee though say much wo offend sang school liable send home never knowin showin think growin tea good lord let hear let near crunchy granola suite drop shrink stop drinkin crunchy granola neat sing alright da da da da da da da da da dee dee dee dumb know man outta touch hide house say much deet deet deet deet deet deet deedle dee doo like man tiger outside gate could relax could relate family man tried brand dig let hear let near crunchy granola suite drop shrink stop drinkin crunchy granola neat sing alright da da da da da da da da da dee dee dee dumb dumb double please
Joni Mitchell,Blue Boy,['soothing'],folk,lady called blue boy love took home made idol yes turned stone like pilgrim travelled ta place flowers granite grace prayed aloud love waken face face oh sometimes evening would read roll arms give seed would wake morning without go window look pain statue garden always looked looked ah bring boots leather dance shyly feather fan glance comes midnight find come times till finds lady statue standing door door oh
George Harrison,Someplace Else,['lonely'],classic rock,got life know found stopped heading someplace else took say wish belong saddened like never regretting leave could comfort hold time need beside world untidy loneliness empty faces wish could leave someplace else someplace else hope wo let go maybe let know saddened like never regretting leave could comfort hold mind need beside world sad crazy loneliness empty faces wish could leave someplace else could comfort hold time need beside world untidy loneliness empty faces wish could leave someplace else loneliness empty faces wish could leave someplace else someplace else think gon na leave someplace else
The Beatles,Julia,"['melancholy', 'mellow']",classic rock,half say meaningless say reach julia julia julia oceanchild calls sing song love julia julia seashell eyes windy smile calls sing song love julia hair floating sky shimmering glimmering sun julia julia morning moon touch sing song love julia sing heart speak mind julia julia sleeping sand silent cloud touch sing song love julia hum hum hum hum calls sing song love julia julia julia
Enya,Afer Ventus,['ethereal'],new age,afer ventus african wind mare nubium umbriel sea clouds umbriel 1 mare imbrium ariel sea showers ariel et itur ad astra go stars 2 et itur ad astra go stars mare undarum io vela sea waves io vela 3 mirabile dictu mirabilia amazing say marvellous 4 mirabile visu mirabilia amazing see wonderful et itur ad astra go stars et itur ad astra go stars sempervirent rosetum always fresh rosetum 5 6 afer ventus zephyrus african wind zephyrus 7 volturnus africus volturnus africus 8 9 et itur ad astra go stars et itur ad astra go stars etesiarum eurus etesians eurus 10 11 running verse suus cuique mos suum cuique habits meus mihi suus cuique carus mine dear 12 mememto terrigena remember life 13 mememto vita brevis remember brief meus mihi suus cuique carus mine dear
Usher,Can You Help Me,['lonely'],piano,living edge control world wo let slow biggest picture photo girl u know try work hard provide material things thought would make u happy confused u make understand cause try give u best thought cool maybe blind never took time see u help tell want u help tell u wan na leave baby help without u whole world falling apart going crazy life prison love alone need u come back home u know need u wan na alone girl put love shelf guess left die together hurt u many times around wish every moment time got wasted used make sweet love baby guide please take hand want u know got u need wan na outside looking got ta u girl ca u see u help tell want u help tell u wan na leave baby help without u whole world falling apart without think go crazy life prison love alone need u come back home u know need u wan na alone please stay go want give another chance wan na man girl u got knees crying beggin pleadin anything love would u help tell want u help tell u wan na leave baby help without u whole world falling apart without girl going crazy life prison without love u help tell u help girl never stop girl got u help help understand man driving crazy oh girl love ya know need ya ca live without ya oh girl love ya know need ya ca live without ya oh girl love ya know need ya ca live without ya oh girl love ya know need ya ca live without ya know need ya
Bill Withers,Lovely Day,['happy'],soul,wake morning love sunlight hurts eyes something without warning love bears heavy mind look world alright one look know gon na lovely day lovely day lovely day lovely day day lies ahead seems impossible face someone else instead always seems know way look world alright one look know gon na lovely day day lies ahead seems impossible face someone else instead always seems know way look world alright one look know gon na lovely day
Perry Como,Killing Me Softly With Her Song,['sentimental'],jazz,heard sang good song heard style came see listen young girl stranger eyes strummin pain fingers singin life words killing softly song killing softly song telling whole life words killing softly song felt flushed fever embarrassed crowd felt found letters read one aloud prayed would finish kept right strummin pain fingers singin life words killing softly song killing softly song telling whole life words killing softly song sang knew dark despair looked right stranger singing clear strong strummin pain fingers singin life words killing softly song killing softly song telling whole life words killing softly song killing softly song
Warren Zevon,Mr. Bad Example,"['sarcastic', 'sardonic', 'humorous', 'cynical']",rock,started altar boy working church learning holy moves research led cash box labelled children fund leave change tuck bills inside cummerbund got job father carpet store laying tactless stripping housewives score loaded furniture took spokane auctioned every last naugahyde divan well acquainted seven deadly sins keep busy schedule trying fit proud glutton time sloth greedy angry care cross chorus intruder dirt like good time care gets hurt take look live hundred go history course went law school got law degree counseled clients plead insanity worked hair replacement swindling bald chosen fewer still called monte carlo play chemin de fer threw away fortune made transplanting hair put last francs prostitute took room perform flag salute whereupon stole passport wig headed airport midnight flight dig fourteen hours later adelaide looking want ads sipping foster shade opened agency somewhere line hire aboriginals work opal mines attached wages took whopping cut whisked away workman comp pauperized lot chorus bought first class ticket malaysian air landed sri lanka none worse wear thinking retiring dirty deals see next life wake meals
Tori Amos,Goodbye Pisces,"['bittersweet', 'soft']",alternative,know boys life become like bull like bull china shop smash smithereens go breaking breaking porcelain doll got used done done mars sauntered door say time say goodbye pisces goodbye pisces cried washed tears turned diamond ice ice could freeze heart would float away go back back shelf smile smile customer say sale owner go breaking breaking porcelain doll got used done done mars sauntered door say time say goodbye pisces goodbye pisces goodbye pisces
David Bowie,Blackout,['dark'],rock,oh walk past lips cut smile face scalding face cage cage beauty cage high price drink rotting wine hands fearful hands get doctor told someone back town chips cut blackout japanese influence honor stake weather grim ice cages robin hood puff cigarette panthers steaming stalking screaming stay tonight take plane tonight nothing lose nothing gain kiss rain kiss rain kiss rain rain get doctor get streets get protection get feet get direction hot air gets blackout oh get streets get protection oh get feet streets block getting skin exposure blackout get protection get feet get direction oh get feet get streets get protection
Radiohead,I Might Be Wrong,['hypnotic'],alternative,might wrong might wrong could sworn saw light coming used think used think future left used think start begin let go waterfall think good times never go back never go back would would open let let go waterfall good time nothing nothing nothing
Whitney Houston,Heartbreak Hotel,['smooth'],soul,heart break hotel heart break hotel heart break hotel heart break hotel heart break hotel heart break hotel heart break hotel heart break hotel said nine instead took time think call boy sit trying cry asking mm oh baby since around tell ya baby face face writing letter say 1 really wanted time instead told lies someone else mind look thought someone would right played emotions made cry ca take see doin wrong played along made fool baby got wrong think would find cheating baby could since around tell ya baby face face writing letter say repeat 1 heartbreak hotel heart break hotel heart break hotel heart break hotel heart break hotel repeat 1 ad lib fade
Foo Fighters,A320,['nostalgic'],soundtrack,place love go strangers meet dream day lernt fly afraid airaplains even though like wings fears person sky alright good time look ground really believe gravity pull hight one day come crashing never chance say goodbye close eyes hope real smooth flight time close eyes hope real smooth flight good time looked ground looked ground looked ground look going
Roxy Music,Triptych,"['elaborate', 'bombastic', 'quirky']",glam rock,soil barren nothing grows crosses know forgiveness falls dew nailed upon wooden frame twisted yet unbroken open mounted silent choir understood unspoken never heard sound heavens opened tide turning yearning sun eclipse seems final surely rise
Leonard Cohen,Jazz Police,['soft'],rock,tell bells ringing nothing happened million years sitting since wednesday morning wednesday morning ca believe ears jazz police looking folders jazz police talking niece jazz police got final orders jazzer drop axe jazz police jesus taken serious many jesus taken joyous jazz police paid paul getty jazzers paid paul getty ii jazz police hear calling jazz police feel blue jazz police think falling falling wild freedom loving racist applaud actions chief tell oh beautiful spacious trouble jazz police jazz police looking folders never understand culture never understand jazz police jazz police working mother blood thicker margarine grease let somebody admire let muscle street stick another turtle fire guys like mad turtle meat jazz police hear calling jazz police feel blue jazz police think falling falling
Joni Mitchell,River,"['melancholy', 'sad']",folk,coming christmas cutting trees putting reindeer singing songs joy peace oh wish river could skate away snow stays pretty green going make lot money going quit crazy scene oh wish river could skate away wish river long would teach feet fly wish river could skate away made baby cry tried hard help know put ease loved naughty made weak knees oh wish river could skate away hard handle selfish sad gone lost best baby ever wish river could skate away oh wish river long would teach feet fly wish river could skate away made baby say goodbye coming christmas cutting trees putting reindeer singing songs joy peace wish river could skate away
Xiu Xiu,Sad Pony Guerilla Girl,"['powerful', 'rousing']",experimental,say looker girl say stupid girl leave steps dress like boy say secret love say quiet want tell whole world like neighborhood like gun driving little car girl protect like neighborhood like gun driving little car girl protect get back little car pull pants fix bra go home go home kids gon na quiet gon na tell whole block like neighborhood like gun driving little car girl protect like neighborhood like gun driving little car girl protect like neighborhood like gun driving little car girl protect
